 Point_source             
  SWAT+ Jun 17 2024        MODULAR Rev 2024.61.0                                
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
     1     1     1  2025     563    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     564    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     565    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     566    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     567    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     569    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     570    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     571    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     572    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     573    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     574    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     575    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     576    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     577    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     578    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     579    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     580    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     581    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     582    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     583    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     584    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     585    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     586    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     587    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     588    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     589    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     590    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     591    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     592    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     593    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     594    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     595    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     596    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     597    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     598    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     599    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     600    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     601    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     602    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     603    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     604    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     605    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     606    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     607    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     608    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     609    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     610    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     611    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     612    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     613    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     614    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     615    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     616    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     617    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     618    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025     619    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025     620    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     621    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025     622    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     623    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025     624    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     625    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025     626    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     627    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     630    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     631    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     632    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     633    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     634    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     635    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     639    rnge                        0.000       0.000       0.000       0.000
     1     1     1  2025     641    frst                        0.000       0.000       0.000       0.000
     1     1     1  2025     642    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     643    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     644    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     645    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     646    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     647    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     648    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     649    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     650    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     651    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     652    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     653    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     654    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025     655    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025     656    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     657    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     658    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     659    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025     660    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     661    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     662    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     663    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     664    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     665    hay                         0.000       0.000       0.000       0.000
