 Point_source              SWAT+ Jun 17 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
     1     1     1  2025      33      33  cha033               0.4857E-02     0.0000E+00     0.4856E-02     0.3187E-01     0.1400E-01     0.2033E-01     0.2033E-01     0.3188E-04     0.0000E+00     0.0000E+00     0.6364E-02     0.0000E+00     0.2950E+00     0.4861E-01     0.2570E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.4908E+01     0.0000E+00     0.4907E+01     0.1823E-03     0.6999E-01     0.1404E-01     0.4861E-01     0.0000E+00
     1     1     1  2025      34      34  cha034               0.4003E-01     0.0000E+00     0.4003E-01     0.2487E+00     0.5149E-01     0.4096E-01     0.4096E-01     0.8606E-04     0.1044E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.3361E+00     0.5303E-01     0.2942E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.3255E+02     0.0000E+00     0.3255E+02     0.1840E-03     0.2708E+00     0.7369E-01     0.5303E-01     0.0000E+00
     1     1     1  2025      35      35  cha035               0.2096E-01     0.0000E+00     0.2096E-01     0.1520E+00     0.2973E-01     0.2674E-01     0.2674E-01     0.1375E-03     0.2849E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2335E+00     0.4160E-01     0.1011E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.3127E+02     0.0000E+00     0.3127E+02     0.4894E-04     0.1949E+00     0.4927E-01     0.4160E-01     0.0000E+00
     1     1     1  2025      36      36  cha036               0.4128E-01     0.0000E+00     0.4128E-01     0.2787E+00     0.1098E+00     0.8727E-01     0.8727E-01     0.7601E-03     0.2180E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.2759E+00     0.4650E-01     0.2356E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.4662E+02     0.0000E+00     0.4662E+02     0.3745E-03     0.5203E+00     0.1037E+00     0.4650E-01     0.0000E+00
     1     1     1  2025      37      37  cha037               0.4769E-01     0.0000E+00     0.4769E-01     0.2955E+00     0.2771E+00     0.1754E+00     0.1754E+00     0.1328E-02     0.1004E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3379E+00     0.5322E-01     0.3284E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.3842E+02     0.0000E+00     0.3842E+02     0.2531E-02     0.1342E+01     0.2243E+00     0.5322E-01     0.0000E+00
     1     1     1  2025      38      38  cha038               0.1769E-01     0.0000E+00     0.1769E-01     0.1053E+00     0.9324E-01     0.1065E+00     0.1065E+00     0.1020E-03     0.0000E+00     0.0000E+00     0.1333E-01     0.0000E+00     0.3723E+00     0.5677E-01     0.2067E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1212E+02     0.0000E+00     0.1212E+02     0.1165E-02     0.5529E+00     0.9450E-01     0.5677E-01     0.0000E+00
     1     1     1  2025      39      39  cha039               0.1286E-01     0.0000E+00     0.1286E-01     0.8083E-01     0.6330E-01     0.8407E-01     0.8407E-01     0.1580E-03     0.0000E+00     0.0000E+00     0.2093E-01     0.0000E+00     0.3269E+00     0.5206E-01     0.2453E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1095E+02     0.0000E+00     0.1095E+02     0.1324E-02     0.2798E+00     0.5180E-01     0.5206E-01     0.0000E+00
     1     1     1  2025      40      40  cha040               0.2091E-01     0.0000E+00     0.2091E-01     0.1740E+00     0.4132E-01     0.2973E-01     0.2973E-01     0.7555E-03     0.1083E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1703E+00     0.3371E-01     0.3679E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.5276E+02     0.0000E+00     0.5276E+02     0.3558E-03     0.2043E+00     0.5202E-01     0.3371E-01     0.0000E+00
     1     1     1  2025      41      41  cha041               0.2830E-01     0.0000E+00     0.2830E-01     0.2109E+00     0.1084E+00     0.7519E-01     0.7519E-01     0.2522E-02     0.3068E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.2194E+00     0.3990E-01     0.1475E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.4685E+02     0.0000E+00     0.4685E+02     0.6680E-03     0.4021E+00     0.8086E-01     0.3990E-01     0.0000E+00
     1     1     1  2025      42      42  cha042               0.3523E-01     0.0000E+00     0.3523E-01     0.2554E+00     0.4297E-01     0.2713E-01     0.2713E-01     0.1726E-02     0.1412E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.2338E+00     0.4163E-01     0.6050E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.5245E+02     0.0000E+00     0.5245E+02     0.2847E-03     0.2330E+00     0.4579E-01     0.4163E-01     0.0000E+00
     1     1     1  2025      43      43  cha043               0.1015E-01     0.0000E+00     0.1015E-01     0.9987E-01     0.3421E-01     0.2406E-01     0.2406E-01     0.1487E-02     0.8662E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1168E+00     0.2621E-01     0.1240E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.4804E+02     0.0000E+00     0.4804E+02     0.3053E-03     0.1235E+00     0.2572E-01     0.2621E-01     0.0000E+00
     1     1     1  2025      44      44  cha044               0.2703E-07     0.0000E+00     0.0000E+00     0.2073E-06     0.1202E-08     0.1198E-08     0.1198E-08     0.3816E-11     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2052E+00     0.3817E-01     0.2806E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.5000E-04     0.0000E+00     0.0000E+00     0.1459E-10     0.5048E-04     0.1037E-07     0.3817E-01     0.0000E+00
     1     1     1  2025      45      45  cha045               0.3627E-04     0.0000E+00     0.3611E-04     0.3425E-03     0.1057E-08     0.1055E-08     0.1055E-08     0.1880E-11     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1281E+00     0.2787E-01     0.2601E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1473E+00     0.0000E+00     0.1466E+00     0.5285E-11     0.1375E-02     0.5684E-04     0.2787E-01     0.0000E+00
     1     1     1  2025      46      46  cha046               0.6087E-01     0.0000E+00     0.6087E-01     0.3888E+00     0.1259E+00     0.1242E+00     0.1242E+00     0.1081E-02     0.5971E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.3145E+00     0.5073E-01     0.1000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.5529E+02     0.0000E+00     0.5529E+02     0.7695E-05     0.9164E+00     0.1864E+00     0.5073E-01     0.0000E+00
     1     1     1  2025      47      47  cha047               0.4129E-01     0.0000E+00     0.4129E-01     0.2736E+00     0.1649E+00     0.8656E-01     0.8656E-01     0.4729E-01     0.3103E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.2884E+00     0.4789E-01     0.1000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.4333E+02     0.0000E+00     0.4333E+02     0.4676E-03     0.6182E+00     0.1200E+00     0.4789E-01     0.0000E+00
     1     1     1  2025      48      48  cha048               0.4207E-01     0.0000E+00     0.4207E-01     0.3132E+00     0.7997E-01     0.7058E-01     0.7058E-01     0.6392E-02     0.3007E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2198E+00     0.3996E-01     0.1000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.6939E+02     0.0000E+00     0.6939E+02     0.4983E-04     0.4566E+00     0.1101E+00     0.3996E-01     0.0000E+00
     1     1     1  2025      49      49  cha049               0.1708E-01     0.0000E+00     0.1708E-01     0.1392E+00     0.1099E+00     0.7623E-01     0.7623E-01     0.2324E-02     0.3132E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1784E+00     0.3476E-01     0.1852E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.3991E+02     0.0000E+00     0.3991E+02     0.9566E-03     0.3822E+00     0.7127E-01     0.3476E-01     0.0000E+00
     1     1     1  2025      50      50  cha050               0.1574E-02     0.0000E+00     0.1574E-02     0.1548E-01     0.1978E-01     0.5042E-02     0.5042E-02     0.5701E-02     0.9038E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1170E+00     0.2624E-01     0.1000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.7432E+01     0.0000E+00     0.7432E+01     0.3192E-03     0.4327E-01     0.7260E-02     0.2624E-01     0.0000E+00
